run_accession	sample_accession	sample_title	sample_alias	scientific_name	cultivar	variety	ecotype	strain	country	instrument_platform	library_layout	base_count
SRR11593282	SAMN14548248	Plant sample from Oryza sativa	RIL-46-GZ	Oryza sativa	RIL-46-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5220703500
SRR11593289	SAMN14548242	Plant sample from Oryza sativa	RIL-40-GZ	Oryza sativa	RIL-40-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5126018100
SRR11593290	SAMN14548241	Plant sample from Oryza sativa	RIL-39-GZ	Oryza sativa	RIL-39-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5208314100
SRR11593292	SAMN14548239	Plant sample from Oryza sativa	RIL-37-GZ	Oryza sativa	RIL-37-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5056454100
SRR11593298	SAMN14548234	Plant sample from Oryza sativa	RIL-32-GZ	Oryza sativa	RIL-32-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5076540600
SRR11593307	SAMN14548226	Plant sample from Oryza sativa	RIL-24-GZ	Oryza sativa	RIL-24-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5100784500
SRR11593311	SAMN14548222	Plant sample from Oryza sativa	RIL-20-GZ	Oryza sativa	RIL-20-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5045364000
SRR11593315	SAMN14548218	Plant sample from Oryza sativa	RIL-16-GZ	Oryza sativa	RIL-16-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5013504900
SRR11593330	SAMN14548309	Plant sample from Oryza sativa	RIL-107-GZ	Oryza sativa	RIL-107-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5138638500
SRR11593332	SAMN14548209	Plant sample from Oryza sativa	RIL-7-GZ	Oryza sativa	RIL-7-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5132458500
SRR11593340	SAMN14548300	Plant sample from Oryza sativa	RIL-98-GZ	Oryza sativa	RIL-98-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5234499000
SRR11593344	SAMN14548199	Plant sample from Oryza sativa	B2	Oryza sativa	B2		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	17177737800
SRR11661745	SAMN14785570	Plant sample from Oryza sativa	Rice_E164-I-A-215	Oryza sativa	Hongquegu					ILLUMINA	PAIRED	475435296
SRR11661755	SAMN14785722	Plant sample from Oryza sativa	Rice_E164-I-A-364	Oryza sativa	Wandao-43					ILLUMINA	PAIRED	476907984
SRR11661756	SAMN14785723	Plant sample from Oryza sativa	Rice_E164-I-A-365	Oryza sativa	Wenxuanqing					ILLUMINA	PAIRED	452126052
SRR11661757	SAMN14785724	Plant sample from Oryza sativa	Rice_E164-I-A-366	Oryza sativa	Xiyangzhan					ILLUMINA	PAIRED	436532292
SRR11661758	SAMN14785727	Plant sample from Oryza sativa	Rice_E164-I-A-369	Oryza sativa	Xiangzaoxian-15					ILLUMINA	PAIRED	451460016
SRR11661759	SAMN14785728	Plant sample from Oryza sativa	Rice_E164-I-A-37	Oryza sativa	Ir 1529-680-3					ILLUMINA	PAIRED	500849244
SRR11661761	SAMN14785732	Plant sample from Oryza sativa	Rice_E164-I-A-373	Oryza sativa	Xiangzaoxian-29					ILLUMINA	PAIRED	544637268
SRR11661764	SAMN14785737	Plant sample from Oryza sativa	Rice_E164-I-A-378	Oryza sativa	Zaomake					ILLUMINA	PAIRED	388245312
