run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR7068470	ERX6637416	SAMEA10005219	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	889984	133497600	Shanghai Normal University	2024-07-18		N7-4-34B	N7-4-34B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068470/ERR7068470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068470/ERR7068470_2.fastq.gz	40506108;42686270
ERR7068472	ERX6637418	SAMEA10005221	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1662536	249380400	Shanghai Normal University	2024-07-18		N7-4-34D	N7-4-34D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068472/ERR7068472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068472/ERR7068472_2.fastq.gz	73867770;79569625
ERR7068482	ERX6637428	SAMEA10005231	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	565700	84855000	Shanghai Normal University	2024-07-18		N7-4-37A	N7-4-37A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068482/ERR7068482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068482/ERR7068482_2.fastq.gz	25860469;27767006
ERR7068483	ERX6637429	SAMEA10005232	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	508700	76305000	Shanghai Normal University	2024-07-18		N7-4-37C	N7-4-37C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068483/ERR7068483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068483/ERR7068483_2.fastq.gz	23321385;24977676
ERR7068484	ERX6637430	SAMEA10005233	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	381808	57271200	Shanghai Normal University	2024-07-18		N7-4-37D	N7-4-37D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068484/ERR7068484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068484/ERR7068484_2.fastq.gz	17656765;18809514
ERR7068491	ERX6637437	SAMEA10005240	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1323410	198511500	Shanghai Normal University	2024-07-18		N7-4-39B	N7-4-39B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068491/ERR7068491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068491/ERR7068491_2.fastq.gz	58309535;62598409
ERR7068492	ERX6637438	SAMEA10005241	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	150436	22565400	Shanghai Normal University	2024-07-18		N7-4-39C	N7-4-39C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068492/ERR7068492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068492/ERR7068492_2.fastq.gz	6957438;7519203
ERR7068494	ERX6637440	SAMEA10005243	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	629822	94473300	Shanghai Normal University	2024-07-18		N7-4-3A	N7-4-3A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068494/ERR7068494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068494/ERR7068494_2.fastq.gz	28109476;30107563
ERR7068496	ERX6637442	SAMEA10005245	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	806528	120979200	Shanghai Normal University	2024-07-18		N7-4-3E	N7-4-3E	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068496/ERR7068496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068496/ERR7068496_2.fastq.gz	36656961;40014427
ERR7068497	ERX6637443	SAMEA10005246	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1267078	190061700	Shanghai Normal University	2024-07-18		N7-4-40A	N7-4-40A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068497/ERR7068497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068497/ERR7068497_2.fastq.gz	54499659;57896534
